name;image;year;power_hp;torque_nm;engine_type;displacement_cc;cylinders;max_speed_kmh;acceleration_0_100;weight_kg;production_units;current_price_euro;description;drive;intake
Audi TT;foto/audi_tt_1998.jpg;1998;225;280;I4 Turbo;1781;4;243;6.4;1340;275512;15000;Coupé dal design rivoluzionario ispirato al Bauhaus;FWD;Turbo
Audi V8;foto/audi_v8_1988.jpg;1988;250;340;V8;3562;8;250;7.1;1780;21565;20000;Prima ammiraglia Audi di lusso con V8 e trazione integrale permanente;AWD;Aspirato
BMW 3.0 CSL;foto/bmw_30_csl_1973.jpg;1973;206;286;I6;3153;6;220;6.9;1270;1265;250000;Leggendaria 'Batmobile', versione alleggerita della CS per le competizioni;RWD;Aspirato
BMW 325i S54;foto/bmw_325i_s54_swap_1989.jpg;1989;343;365;I6;3246;6;250;4.7;1350;1;45000;E30 con swap motore moderno S54 dalla M3 E46, restomod unico;RWD;Aspirato
BMW 535i E34;foto/bmw_535i_e34_1991.jpg;1991;211;305;I6;3430;6;240;7.1;1670;97679;20000;Berlina sportiva con il classico sei cilindri in linea BMW M30;RWD;Turbo
BMW M1;foto/bmw_m1_1981.jpg;1981;277;330;I6;3453;6;262;5.6;1300;453;600000;Prima supercar BMW, design Giugiaro, motore centrale e produzione parziale Lamborghini;RWD;Aspirato
BMW M3 E30;foto/bmw_m3_e30_1986.jpg;1986;200;240;I4;2302;4;235;6.7;1200;17970;100000;Prima M3 della storia, dominatrice del DTM e icona del motorsport;RWD;Aspirato
BMW M3 E46;foto/bmw_m3_e46_2000.jpg;2000;343;365;I6 S54;3246;6;250;5.1;1495;85744;35000;Ultima M3 con motore sei cilindri in linea, considerata tra le migliori di sempre;RWD;Aspirato
BMW M3 E92;foto/bmw_m3_e92_2007.jpg;2007;420;400;V8;3999;8;250;4.8;1655;40092;45000;Prima e unica M3 con motore V8, disponibile in coupé e cabriolet;RWD;Aspirato
BMW M5 E28;foto/bmw_m5_e28_1985.jpg;1985;286;340;I6;3453;6;251;6.2;1430;2241;80000;Prima M5 della storia, berlina supersportiva assemblata a mano;RWD;Aspirato
Bugatti EB 110 SS;foto/bugatti_eb110_ss_1992.jpg;1992;611;650;V12 Quad-Turbo;3500;12;355;3.3;1418;31;1200000;Supercar con quattro turbo e trazione integrale, versione potenziata della EB110 GT;AWD;Quad-Turbo
Buick GSX;foto/buick_gsx_1970.jpg;1970;360;691;V8;7456;8;210;5.8;1769;678;80000;Muscle car di lusso con coppia record per l'epoca;RWD;Aspirato
Buick Regal GNX;foto/buick_regal_gnx_1987.jpg;1987;276;488;V6 Turbo;3791;6;200;5.7;1588;547;150000;Limited edition del Grand National, elaborata da McLaren Performance;RWD;Turbo
Cadillac Allante;foto/cadillac_allante_1987.jpg;1987;170;271;V8;4100;8;190;8.5;1750;21430;25000;Cabriolet di lusso con carrozzeria Pininfarina, trasportata in aereo dall'Italia;FWD;Aspirato
Cadillac Miller-Meteor;foto/cadillac_miller_meteor_1959.jpg;1959;320;515;V8;6390;8;160;10.0;2540;2000;150000;Famosa ambulanza/carro funebre, base della Ecto-1 di Ghostbusters;RWD;Aspirato
Cadillac Eldorado;foto/cadillac_eldorado_1967.jpg;1967;340;637;V8;7025;8;200;8.1;2300;17528;45000;Lussuosa coupé con il più grande V8 mai prodotto da Cadillac fino ad allora;FWD;Aspirato
Cadillac Fleetwood Brougham;foto/cadillac_fleetwood_brougham_1979.jpg;1979;195;393;V8;7030;8;180;11.0;2270;15200;15000;Ammiraglia di lusso americana, simbolo dell'era delle grandi berline;RWD;Aspirato
Chevrolet 1/2 Camaro Z28;foto/chevrolet_1_2_camaro_z28_1970.jpg;1970;360;515;V8;5733;8;215;5.8;1565;8733;75000;Versione speciale Z28 con motore LT-1 ad alto regime;RWD;Aspirato
Chevrolet Camaro IROC-Z Convertible;foto/chevrolet_camaro_iroc_z_convertible_1987.jpg;1987;225;339;V8;5700;8;220;6.7;1520;1987;35000;Versione cabriolet della Camaro IROC-Z, ispirata alla serie International Race of Champions;RWD;Aspirato
Chevrolet Camaro RS;foto/chevrolet_camaro_rs_1967.jpg;1967;210;332;V8;4638;8;180;8.0;1450;64842;40000;Primo anno della Camaro, versione Rally Sport con fari nascosti;RWD;Aspirato
Chevrolet Camaro Z-28;foto/chevrolet_camaro_z_28_1967.jpg;1967;290;393;V8;4950;8;210;6.5;1425;602;120000;Prima Z28 della storia, omologata per le gare Trans Am;RWD;Aspirato
Chevrolet Camaro Z/28;foto/chevrolet_camaro_z28.jpg;1967;290;393;V8;4950;8;210;6.5;1425;602;120000;Versione ad alte prestazioni sviluppata per le competizioni Trans Am;RWD;Aspirato
Chevrolet Corvette;foto/chevrolet_corvette_2013.jpg;2013;460;630;V8;6162;8;300;4.2;1499;11531;60000;C6 finale con motore LS3, ultima Corvette a motore anteriore;RWD;Aspirato
Chevrolet Corvette C6 Z06;foto/chevrolet_corvette_c6_z06.jpg;2006;505;637;V8;7011;8;320;3.7;1418;8070;45000;Versione alleggerita con telaio in alluminio e motore LS7;RWD;Aspirato
Chevrolet Corvette Stingray 427;foto/chevrolet_corvette_stingray_427_1967.jpg;1967;435;624;V8;7008;8;230;4.7;1520;3754;200000;La più potente Corvette dell'era muscle car, con il leggendario motore L88;RWD;Aspirato
Chevrolet Corvette Z06;foto/chevrolet_corvette_z06_2002.jpg;2002;405;542;V8;5665;8;275;4.0;1413;8297;30000;C5 Z06 con telaio irrigidito e motore LS6 potenziato;RWD;Aspirato
Chevrolet Corvette ZR-1;foto/chevrolet_corvette_zr_1_1995.jpg;1995;405;548;V8 DOHC;5733;8;290;4.9;1595;448;45000;Ultima evoluzione della C4 ZR-1 con motore LT5 sviluppato da Lotus;RWD;Aspirato
Chevrolet Corvette ZR1;foto/chevrolet_corvette_zr1_2009.jpg;2009;647;819;V8 Supercharged;6162;8;330;3.4;1519;1424;80000;Versione sovralimentata della C6 con componenti in fibra di carbonio;RWD;Aspirato
Chevrolet Coupe Camaro Super Sport;foto/chevrolet_coupe_camaro_super_sport_1969.jpg;1969;375;563;V8;6557;8;210;6.0;1565;34932;60000;Muscle car con pacchetto SS, disponibile con vari motori V8;RWD;Aspirato
Chevrolet Impala Super Sport;foto/chevrolet_impala_super_sport_1996.jpg;1996;260;339;V8;5733;8;225;7.5;1850;41941;15000;Ultima generazione della Impala SS con motore LT1 dalla Corvette;RWD;Aspirato
Chevrolet Napalm Nova;foto/chevrolet_napalm_nova_1972.jpg;1972;425;610;V8;6555;8;220;5.3;1450;1200;45000;Nova modificata con motore big block e nome ispirato alla guerra del Vietnam;RWD;Aspirato
Chevrolet Yenko/SC Camaro;foto/chevrolet_yenko_sc_camaro_1969.jpg;1969;450;610;V8;7042;8;225;5.4;1565;201;250000;Camaro elaborata da Don Yenko con motore COPO 427;RWD;Aspirato
Citroen Saxo VTS;foto/citroen_saxo_vts.jpg;1996;120;145;I4;1587;4;205;8.2;935;62365;10000;Piccola sportiva francese molto popolare nel tuning anni '90;FWD;Aspirato
Datsun 240Z;foto/datsun_240z_1973.jpg;1973;151;198;I6;2393;6;200;8.0;1068;156076;40000;Sportiva giapponese che ha rivoluzionato il mercato delle GT;RWD;Aspirato
De Lorean DMC 12;foto/de_lorean_dmc_12_1982.jpg;1982;130;207;V6 PRV;2849;6;210;8.8;1230;9000;65000;Auto futuristica con carrozzeria in acciaio inox e porte ad ala di gabbiano;RWD;Aspirato
De Tomaso Mangusta;foto/de_tomaso_mangusta_1966.jpg;1966;306;441;V8 Ford;4942;8;250;6.3;1250;401;300000;Supercar italo-americana con motore centrale Ford e carrozzeria Ghia;RWD;Aspirato
De Tomaso Pantera;foto/de_tomaso_pantera_1970.jpg;1970;330;451;V8 Cleveland;5763;8;260;5.5;1418;7260;120000;GT italo-americana venduta attraverso i concessionari Ford, prodotta per oltre 20 anni;RWD;Aspirato
Dodge Challenger R/T;foto/dodge_challenger_rt_1970.jpg;1970;425;664;V8 HEMI;7000;8;210;5.8;1759;2142;150000;Muscle car di lusso con l'iconico motore HEMI 426;RWD;Aspirato
Dodge Charger Hellcat;foto/dodge_charger_hellcat.jpg;2015;707;881;V8 Supercharged;6166;8;328;3.7;2075;7500;75000;Berlina più potente mai prodotta in serie, con motore Hellcat sovralimentato;RWD;Supercharged
Dodge Charger R/T;foto/dodge_charger_rt_1969.jpg;1969;375;576;V8 Magnum;7210;8;210;6.0;1769;89199;120000;Muscle car resa famosa dalla serie TV Hazzard e il franchise Fast and Furious;RWD;Aspirato
Dodge Monaco;foto/dodge_monaco_1974.jpg;1974;230;400;V8;7206;8;180;9.5;2100;24000;20000;Grande berlina americana, popolare come auto della polizia;RWD;Aspirato
Dodge Viper ACR;foto/dodge_viper_acr.jpg;2007;600;760;V10;8285;10;325;3.4;1540;392;150000;Versione da pista omologata per strada con aerodinamica estrema;RWD;Aspirato
Dodge Viper GTS;foto/dodge_viper_gts.jpg;1996;450;664;V10;7990;10;298;4.0;1595;1166;150000;Evoluzione della RT/10 con hardtop e maggiore raffinatezza;RWD;Aspirato
Ferrari 288 GTO;foto/ferrari_288_gto_1984.jpg;1984;400;496;V8 Twin-Turbo;2855;8;305;4.9;1160;272;2800000;Supercar sviluppata per il Gruppo B stradale, base per la F40;RWD;Twin-Turbo
Ferrari 512S;foto/ferrari_512s_1970.jpg;1970;550;480;V12;4994;12;340;3.8;880;25;8000000;Auto da corsa per il Mondiale Sport-Prototipi in risposta alla Porsche 917;RWD;Aspirato
Ferrari F355 Berlinetta;foto/ferrari_f355_berlinetta_1994.jpg;1994;380;363;V8;3495;8;295;4.7;1350;4871;90000;Prima Ferrari con cambio F1, valvole a fasatura variabile e telaio attivo;RWD;Aspirato
Ferrari F40;foto/ferrari_f40.jpg;1987;478;577;V8 Twin-Turbo;2936;8;324;3.8;1100;1311;2500000;Ultima Ferrari approvata da Enzo Ferrari, icona degli anni '80;RWD;Twin-Turbo
Ferrari Testarossa;foto/ferrari_testarossa_1984.jpg;1984;390;490;Flat-12;4943;12;290;5.3;1506;7177;150000;Iconica supercar degli anni '80 con le caratteristiche prese d'aria laterali;RWD;Aspirato
Ferrari Testarossa 512 TR;foto/ferrari_testarossa_512_tr_1992.jpg;1992;428;491;Flat-12;4943;12;314;4.8;1472;2261;180000;Versione evoluta della Testarossa con motore potenziato e aerodinamica migliorata;RWD;Aspirato
Fiat Panda 4x4;foto/fiat_panda_4x4.jpg;1983;48;77;I4;965;4;135;20.0;840;9400;15000;Piccola utilitaria con trazione integrale, capace di arrivare ovunque;AWD;Aspirato
Ford Capri RS3100;foto/ford_capri_rs3100_1973.jpg;1973;250;298;V6;3096;6;220;7.3;1180;250;65000;Versione limitata della Capri per omologazione nel campionato ETCC;RWD;Aspirato
Ford Cortina MK3;foto/ford_cortina_mk3_1972.jpg;1972;98;157;I4;1993;4;160;11.2;1021;1126952;15000;Berlina media britannica di grande successo commerciale;RWD;Aspirato
Ford Escort;foto/ford_escort_1968.jpg;1968;120;162;I4;1598;4;170;9.0;850;12500;40000;Piccola sportiva da rally, vincitrice di numerosi titoli internazionali;RWD;Aspirato
Ford Escort RS Cosworth;foto/ford_escort_rs_cosworth.jpg;1993;227;304;I4 Turbo;1993;4;232;6.1;1275;7145;80000;Versione estrema dell'Escort con meccanica Sierra Cosworth e doppio alettone;AWD;Turbo
Ford Escort RS Turbo;foto/ford_escort_rs_turbo_1986.jpg;1986;132;180;I4 Turbo;1597;4;200;8.2;925;8604;30000;Serie speciale della Escort con turbocompressore Garrett T3;FWD;Turbo
Ford Falcon XA GT-HO;foto/ford_falcon_xa_gt_ho_1972.jpg;1972;385;610;V8;5763;8;228;6.4;1524;891;120000;Muscle car australiana sviluppata per il campionato Bathurst;RWD;Aspirato
Ford Fiesta ST;foto/ford_fiesta_st_2014.jpg;2014;182;240;I4 Turbo EcoBoost;1596;4;220;6.9;1163;17000;15000;Hot hatch compatta con eccellente telaio e motore EcoBoost;FWD;Turbo
Ford Focus RS;foto/ford_focus_rs_2009.jpg;2009;301;440;I5 Turbo;2522;5;263;5.9;1492;11500;30000;Hot hatch ad alte prestazioni con motore Volvo da 5 cilindri;AWD;Turbo
Ford Focus RS;foto/ford_focus_rs_2017.jpg;2017;350;470;I4 Turbo EcoBoost;2261;4;266;4.7;1599;1000;45000;Ultima generazione della Focus RS con drift mode e launch control;AWD;Turbo
Ford Focus RS MK2;foto/ford_focus_rs_mk2.jpg;2009;301;440;I5 Turbo;2522;5;263;5.9;1492;11500;30000;Seconda generazione della Focus RS con differenziale RevoKnuckle;AWD;Turbo
Ford GT40 MKII;foto/ford_gt40_mkii_1966.jpg;1966;485;555;V8;6997;8;330;3.7;1100;8;8000000;Leggendaria vincitrice di Le Mans, nata per battere Ferrari;RWD;Aspirato
Ford GT70;foto/ford_gt70_1970.jpg;1970;200;245;V6;2600;6;240;6.5;880;6;400000;Rarissimo prototipo da rally mai entrato in produzione;RWD;Aspirato
Ford LTD Wagon;foto/ford_ltd_wagon_1975.jpg;1975;216;427;V8;7536;8;170;10.5;2200;42321;15000;Enorme station wagon americana dell'era pre-crisi petrolifera;RWD;Aspirato
Ford Mustang SVO;foto/ford_mustang_svo_1986.jpg;1986;205;340;I4 Turbo;2300;4;225;6.5;1420;9844;25000;Mustang ad alte prestazioni con 4 cilindri turbo invece del V8;RWD;Turbo
Ford RS1800;foto/ford_rs1800_1977.jpg;1977;250;275;I4;1998;4;205;6.5;960;109;100000;Escort da rally Gruppo 4, vincitrice di due titoli mondiali;RWD;Aspirato
Ford RS200 Evolution;foto/ford_rs200_evolution_1985.jpg;1985;600;550;I4 Turbo;2137;4;290;3.1;1050;24;600000;Supercar Gruppo B con motore centrale-longitudinale e trazione integrale;AWD;Turbo
Ford Shelby GT500;foto/ford_shelby_gt500_2013.jpg;2013;662;855;V8 Supercharged;5812;8;320;3.5;1747;5000;65000;Mustang più potente della sua era con compressore volumetrico;RWD;Supercharged
Ford Sierra Cosworth RS500;foto/ford_sierra_cosworth_rs500.jpg;1987;224;277;I4 Turbo;1993;4;245;6.2;1220;500;100000;Versione omologazione della Sierra Cosworth con turbo Garrett T4;RWD;Turbo
Ford SVT Cobra R;foto/ford_svt_cobra_r_1993.jpg;1993;235;386;V8;4942;8;230;5.7;1450;107;50000;Versione alleggerita della Mustang SVT per uso pista;RWD;Aspirato
Ford SVT Cobra R;foto/ford_svt_cobra_r_2000.jpg;2000;385;529;V8;5409;8;270;4.4;1500;300;60000;Ultima Cobra R prodotta, con motore V8 ad alto regime;RWD;Aspirato
Holden Commodore HSV W427;foto/holden_commodore_hsv_w427.jpg;2009;505;640;V8;7008;8;290;4.7;1847;137;100000;Muscle car australiana con motore Corvette LS7;RWD;Aspirato
Honda Civic Type R;foto/honda_civic_type_r_1997.jpg;1997;185;178;I4 VTEC;1797;4;235;6.7;1090;16169;25000;Prima Type R basata sulla Civic, leggendaria per il suo motore VTEC;FWD;Aspirato
Honda Civic Type R;foto/honda_civic_type_r_2004.jpg;2004;200;193;I4 VTEC;1998;4;235;6.6;1204;12500;20000;Seconda generazione con nuovo motore K20A da 8250 giri;FWD;Aspirato
Honda Civic Type R;foto/honda_civic_type_r_2016.jpg;2016;310;400;I4 Turbo VTEC;1996;4;270;5.7;1380;15000;35000;Prima Type R turbocompressa, record al Nürburgring;FWD;Turbo
Honda Civic Type R EK9 con laptop;foto/honda_civic_type_r_ek9.jpg;1997;500;178;I4 VTEC;1597;4;260;4.9;1050;16169;50000;Prima Type R su base Civic, con motore B16B e telaio rinforzato - DANGER TO MANIFOLD!;FWD;Aspirato
Honda CRX 1.6Vt SiR;foto/honda_crx_1_6vt_sir_1990.jpg;1990;160;152;I4 VTEC;1595;4;220;7.5;960;12043;20000;Coupé leggera e compatta con motore VTEC ad alto regime;FWD;Aspirato
Honda Integra Type R;foto/honda_integra_type_r.jpg;1995;200;178;I4 VTEC;1797;4;235;6.7;1120;3823;35000;Considerata da molti la migliore trazione anteriore di sempre;FWD;Aspirato
Honda NSX-R;foto/honda_nsx_r_1992.jpg;1992;280;294;V6 VTEC;2977;6;270;5.0;1230;483;250000;Versione alleggerita e affinata della NSX per il mercato giapponese;RWD;Aspirato
Honda NSX-R;foto/honda_nsx_r_2005.jpg;2005;290;304;V6 VTEC;3179;6;280;4.9;1270;140;300000;Ultima evoluzione della NSX-R con esteso uso di carbonio;RWD;Aspirato
Honda Prelude SI;foto/honda_prelude_si_1994.jpg;1994;160;201;I4 VTEC;2157;4;215;8.5;1305;58475;15000;Coupé sportiva con innovativo sistema di quattro ruote sterzanti;FWD;Aspirato
Honda S2000 CR;foto/honda_s2000_cr_2009.jpg;2009;240;220;I4 VTEC;1997;4;240;5.8;1260;699;60000;Club Racer, versione ancora più estrema della S2000;RWD;Aspirato
Hyundai i30 N;foto/hyundai_i30_n_rimappata.jpg;2018;320;470;I4 Turbo;1998;4;250;5.4;1429;2000;35000;Hot hatch coreana rimappata oltre i limiti di fabbrica;FWD;Turbo
Jaguar XJ13;foto/jaguar_xj13_1966.jpg;1966;502;386;V12;4994;12;290;3.4;998;1;15000000;Prototipo unico da competizione mai schierato in gara;RWD;Aspirato
Jaguar XJ220S TWR;foto/jaguar_xj220s_twr_1993.jpg;1993;680;712;V6 Twin-Turbo;3498;6;350;3.3;1080;6;1200000;Versione estrema della XJ220 elaborata da TWR;RWD;Twin-Turbo
Koenigsegg CC8S;foto/koenigsegg_cc8s_2002.jpg;2002;655;750;V8 Supercharged;4700;8;390;3.5;1175;6;800000;Prima hypercar prodotta da Koenigsegg;RWD;Twin-Turbo
Lamborghini Countach LP5000 QV;foto/lamborghini_countach_lp5000_qv_1988.jpg;1988;455;500;V12;4754;12;295;4.9;1490;610;750000;Leggendaria supercar con motore V12 e design iconico di Marcello Gandini, simbolo degli anni '80;RWD;Aspirato
Lamborghini Diablo SV;foto/lamborghini_diablo_sv_1997.jpg;1997;530;605;V12;5707;12;328;3.9;1625;2903;450000;Versione Super Veloce della Diablo, prima Lamborghini capace di superare i 320 km/h;RWD;Aspirato
Lamborghini Espada 400 GT;foto/lamborghini_espada_400_gt_1973.jpg;1973;350;393;V12;3929;12;245;6.5;1635;1227;250000;Elegante GT quattro posti disegnata da Marcello Gandini per Bertone;RWD;Aspirato
Lamborghini Miura P400;foto/lamborghini_miura_p400_1967.jpg;1967;350;369;V12;3929;12;280;6.7;1125;275;2000000;Prima supercar moderna con motore centrale-posteriore, rivoluzionò il mondo delle auto sportive;RWD;Aspirato
Lancia Beta Montecarlo;foto/lancia_beta_montecarlo_2_0_1979.jpg;1979;120;172;I4 DOHC;1995;4;190;8.6;1040;7798;45000;Sportiva a motore centrale progettata da Pininfarina, base per le versioni da competizione Gruppo 5;RWD;Aspirato
Lancia Delta HF Integrale Evo;foto/lancia_delta_hf_integrale_evo_1992.jpg;1992;215;314;I4 Turbo;1995;4;220;5.7;1350;2500;150000;Ultima evoluzione della leggendaria Delta, dominatrice del mondiale rally;AWD;Turbo
Lancia Rally 037;foto/lancia_rally_037_1980.jpg;1980;205;290;I4 Supercharged;1995;4;230;6.0;1170;200;600000;Ultima auto a due ruote motrici a vincere il mondiale rally, battendo l'Audi Quattro;RWD;Supercharged
Lancia Stratos HF Stradale;foto/lancia_stratos_hf_stradale_1974.jpg;1974;190;226;V6 Dino;2418;6;230;6.8;980;492;550000;Auto da rally progettata da zero per vincere, con motore Ferrari Dino e design futuristico;RWD;Aspirato
Lexus LFA;foto/lexus_lfa_2010.jpg;2010;560;480;V10;4805;10;325;3.7;1480;500;700000;Supercar con V10 ad altissimo regime sviluppata in 10 anni, capolavoro ingegneristico Toyota;RWD;Aspirato
Lotus Esprit;foto/lotus_esprit_1984.jpg;1984;160;220;I4 Turbo;2174;4;222;6.1;1067;10675;45000;Sportiva britannica con design di Giugiaro, resa famosa da James Bond;RWD;Turbo
Maserati Gran Turismo S;foto/maserati_gran_turismo_s_2010.jpg;2010;440;490;V8;4691;8;295;4.9;1880;4260;65000;Gran turismo italiana con motore Ferrari F136 e design Pininfarina;RWD;Aspirato
Matra Murena;foto/matra_murena_1980.jpg;1980;142;181;I4;2156;4;200;8.4;1080;10680;25000;Sportiva francese con tre posti anteriori affiancati e motore centrale;RWD;Aspirato
Mazda 323 GT-R;foto/mazda_323_gt_r_1992.jpg;1992;185;235;I4 Turbo;1839;4;230;5.9;1200;2500;35000;Versione omologazione Gruppo A della 323, prodotta per il mondiale rally;AWD;Turbo
Mazda 323 GTX;foto/mazda_323_gtx.jpg;1989;185;235;I4 Turbo;1839;4;220;6.1;1220;5000;25000;Prima hot hatch Mazda a trazione integrale permanente;AWD;Turbo
Mazda 626 GT Turbo;foto/mazda_626_gt_turbo.jpg;1989;145;217;I4 Turbo;2184;4;205;8.2;1230;10000;15000;Versione sportiva della berlina media Mazda con turbo e sospensioni sportive;FWD;Turbo
Mazda Lantis Type R;foto/mazda_lantis_type_r.jpg;1995;170;184;V6;1845;6;220;7.0;1150;2000;20000;Rara sportiva compatta con motore V6 KL-ZE;FWD;Aspirato
Mazda Mazdaspeed MX5;foto/mazdaspeed_mx5_2005.jpg;2005;178;225;I4 Turbo;1839;4;210;6.7;1140;5428;25000;Versione ufficiale turbo della MX5 NC sviluppata da Mazdaspeed;RWD;Turbo
Mazda MX5;foto/mazda_mx5_2013.jpg;2013;160;188;I4;2000;4;215;7.3;1075;100000;25000;Terza generazione della roadster più venduta al mondo;RWD;Aspirato
Mazda MX5 Miata;foto/mazda_mx5_miata_1994.jpg;1994;131;152;I4;1839;4;200;8.2;960;431589;15000;Prima generazione dell'iconica roadster giapponese, ispirata alle sportive inglesi;RWD;Aspirato
Mazda RX7 Spirit R Type-A;foto/mazda_rx7_spirit_r_type_a_2002.jpg;2002;280;314;Twin-Rotor Turbo;1308;0;250;4.7;1270;1500;100000;Versione finale della FD RX-7, massima evoluzione del motore rotativo biturbo;RWD;Twin-Turbo
Mercedes 190E 2.5-16 Evolution II;foto/mercedes_190e_2_5_16_evolution_ii_1990.jpg;1990;235;245;I4;2463;4;250;7.1;1340;502;180000;Versione estrema della 190E per DTM, con aerodinamica aggressiva e motore Cosworth;RWD;Aspirato
Mercedes A45 AMG;foto/mercedes_a45_amg_2013.jpg;2013;360;450;I4 Turbo;1991;4;250;4.6;1555;15000;45000;Hot hatch AMG con il 2.0 turbo più potente in produzione;AWD;Turbo
Mercedes AMG Hammer Coupe;foto/mercedes_amg_hammer_coupe_1987.jpg;1987;360;417;V8;5547;8;300;5.3;1785;13;250000;Coupé preparata da AMG con V8 M117 potenziato, precursore delle moderne AMG;RWD;Aspirato
Mercedes GT3;foto/mercedes_gt3_2018.jpg;2018;550;650;V8;6208;8;310;3.4;1285;150;500000;Versione da competizione della AMG GT per la categoria GT3;RWD;Twin-Turbo
Mercedes SLK 55 AMG;foto/mercedes_slk_55_amg_2012.jpg;2012;422;540;V8;5461;8;250;4.5;1610;5000;45000;Roadster compatta con potente V8 aspirato;RWD;Aspirato
Mercedes SLS AMG;foto/mercedes_sls_amg_2011.jpg;2011;571;650;V8;6208;8;317;3.8;1620;2734;200000;Supercar con porte ad ali di gabbiano, erede spirituale della 300SL;RWD;Aspirato
MG XPower SV-R;foto/mg_xpower_sv_r_2005.jpg;2005;385;510;V8;4601;8;283;4.9;1540;82;100000;Rara supercar britannica con telaio in fibra di carbonio e motore Ford;RWD;Aspirato
Mini Cooper S;foto/mini_cooper_s_1965.jpg;1965;76;107;I4;1275;4;160;10.9;686;19000;40000;Versione sportiva della Mini originale preparata da John Cooper;FWD;Supercharged
Mini John Cooper Works;foto/mini_john_cooper_works_2009.jpg;2009;211;280;I4 Turbo;1598;4;238;6.5;1235;10000;20000;Versione più potente della Mini R56, erede della Cooper S originale;FWD;Turbo
Mini John Cooper Works GP;foto/mini_john_cooper_works_gp_2012.jpg;2012;218;280;I4 Turbo;1598;4;242;6.3;1160;2000;40000;Versione limitata alleggerita e potenziata, senza sedili posteriori;FWD;Turbo
Mitsubishi Colt Ralliart Version R;foto/mitsubishi_colt_ralliart_version_r.jpg;2007;154;210;I4 Turbo;1499;4;210;7.0;1090;500;20000;Hot hatch compatta con motore turbo derivato dalla Lancer Evolution;FWD;Turbo
Mitsubishi Eclipse GSX;foto/mitsubishi_eclipse_gsx_1995.jpg;1995;210;290;I4 Turbo;1997;4;230;6.8;1470;12000;25000;Coupé sportiva 4WD con motore 4G63T condiviso con la Lancer Evo;AWD;Turbo
